MARKER-FAMILY EXEMPLAR CENSUS  (type 0x6534284A)
generated by tools/research/udriveit/run_census.py
game    : C:\Program Files (x86)\Steam\steamapps\common\SimCity 4 Deluxe
plugins : C:\Users\<user>\OneDrive\Documents\SimCity 4\Plugins
files scanned (DBPF): 532
exemplars found     : 11118
exemplars parsed OK : 11118
parse failures      : 0

PROPERTY IDS DECODED BY NAME:
  0x00000010  ExemplarType
  0x00000020  ExemplarName
  0x0ABFC024  (seen 0x1C / 0x1E)
  0x27812810  OccupantSize
  0x27812820  ResourceKeyType0
  0x27812821  ResourceKeyType1
  0x27812822  ResourceKeyType2
  0x27812823  ResourceKeyType3
  0x27812824  ResourceKeyType4
  0x27812825  ResourceKeyType5
  0x4A149631  MarkerSizePair? floats, all <=24.9 (SetSize cap is 25.5)
07BDDF1C   031D0000   SimCity_ {24, 14, 22}   CV24x22_ScienceHistoryArtMuseum_031D
07BDDF1C   031D0000   CAM_Maxi {24, 14, 22}   CV24x22_ScienceHistoryArtMuseum_031D
07BDDF1C   03370000   SimCity_ {38, 25, 48}   CV38x48_Jail_0337
07BDDF1C   03370000   CAM_Maxi {38, 25, 48}   CV38x48_Jail_0337
07BDDF1C   034E0000   SimCity_ {16, 6, 16}    CV16x16_Landfill14_034E
07BDDF1C   034F0000   SimCity_ {16, 6, 16}    CV16x16_Landfill15_034F
07BDDF1C   03850000   SimCity_ {47.9, 14, 47.9} CV48x48_larger_elementary_school_0385
07BDDF1C   03850000   CAM_Maxi {47.9, 14, 47.9} CV48x48_larger_elementary_school_0385
07BDDF1C   03860000   SimCity_ {40, 33, 36}   CV40x36_DeluxePrecinct_0386
07BDDF1C   03860000   CAM_Maxi {40, 33, 36}   CV40x36_DeluxePrecinct_0386
07BDDF1C   03880000   SimCity_ {9, 8, 7}      CV9X7_PoliceKiosk_0388
07BDDF1C   03880000   CAM_Maxi {9, 8, 7}      CV9X7_PoliceKiosk_0388
07BDDF1C   03890000   SimCity_ {62, 29, 88}   CV67x95_large-high-school_0389
07BDDF1C   03890000   CAM_Maxi {62, 29, 88}   CV67x95_large-high-school_0389
07BDDF1C   038E0000   SimCity_ {19, 21, 15}   CV19x15_DeluxeFireStation_038E
07BDDF1C   038E0000   CAM_Maxi {19, 21, 15}   CV19x15_DeluxeFireStation_038E
07BDDF1C   03A60593   CAM_Park {10, 0, 10}    PZ1x1_ParkFlowerGarden1_2a635ab0
07BDDF1C   03B78022   CAM_Educ {47.9, 14, 47.9} CV48x48_larger_elementary_school_PIMxD
07BDDF1C   04B40498   CAM_Park {1, 3, 1}      PZ1x1_ParkBasketball1_8a635ad0
07BDDF1C   073D7BE2   CAM_Heal {12, 12, 14}   CV12x14_urgentcareclinic_PIMxD
07BDDF1C   07C65B47   CAM_Park {20, 0, 20}    PZ1x1_ParkFlowerGarden2_2a635acf
07BDDF1C   0A635A90   SimCity_ {15.8, 0, 15.8} PZ1x1_ParkVictoryGarden1_0a635a90
07BDDF1C   0A635A90   CAM_Maxi {15.8, 0, 15.8} PZ1x1_ParkVictoryGarden1_0a635a90
07BDDF1C   0A635A91   SimCity_ {15.8, 0, 15.8} PZ1x1_ParkVictoryGarden2_0a635a91
07BDDF1C   0A635A91   CAM_Maxi {15.8, 0, 15.8} PZ1x1_ParkVictoryGarden2_0a635a91
07BDDF1C   0A635A92   SimCity_ {15.8, 0, 15.8} PZ1x1_ParkVictoryGarden3_0a635a92
07BDDF1C   0A635A92   CAM_Maxi {15.8, 0, 15.8} PZ1x1_ParkVictoryGarden3_0a635a92
07BDDF1C   0A635A93   SimCity_ {15.8, 0, 15.8} PZ1x1_ParkVictoryGarden4_0a635a93
07BDDF1C   0A635A93   CAM_Maxi {15.8, 0, 15.8} PZ1x1_ParkVictoryGarden4_0a635a93
07BDDF1C   0AC76E60   CAM_Educ {44, 37, 44}   CV44x44_CityCollege_PIMxD
07BDDF1C   18161EF7   CAM_Park {15.8, 0, 15.8} PZ1x1_ParkVictoryGarden1_0a635a90
07BDDF1C   182F41EB   CAM_Park {30, 0, 30}    PZ1x1_ParkGreens3_4a635a8c
07BDDF1C   1DBE0000   SimCity_ {16, 11, 16}   PZBaseball16x16x11_Backstop_1DBE
07BDDF1C   1DBE0000   CAM_Maxi {16, 11, 16}   PZBaseball16x16x11_Backstop_1DBE
07BDDF1C   1DDD0000   SimCity_ {3, 5, 6}      PZPark3x6x5_Lifeguardtower_1DDD
07BDDF1C   1DDD0000   CAM_Maxi {3, 5, 6}      PZPark3x6x5_Lifeguardtower_1DDD
07BDDF1C   1E170000   SimCity_ {3, 3, 8}      Pzsoc3x8x3_goalpost_1E17
07BDDF1C   1E170000   CAM_Maxi {3, 3, 8}      Pzsoc3x8x3_goalpost_1E17
07BDDF1C   1F340000   SimCity_ {3, 16, 8}     PZ17x9x15_RangerStation_1F34
07BDDF1C   1F340000   CAM_Maxi {3, 16, 8}     PZ17x9x15_RangerStation_1F34
07BDDF1C   213374F7   CAM_Park {1, 0, 1}      PZ1x1_Grass_4ab05a13
07BDDF1C   298F0000   SimCity_ {15.5, 2, 31.5} PZ16x32x2_tennis-court_298F
07BDDF1C   298F0000   CAM_Maxi {15.5, 2, 31.5} PZ16x32x2_tennis-court_298F
07BDDF1C   2A635AB0   SimCity_ {10, 0, 10}    PZ1x1_ParkFlowerGarden1_2a635ab0
07BDDF1C   2A635AB0   CAM_Maxi {10, 0, 10}    PZ1x1_ParkFlowerGarden1_2a635ab0
07BDDF1C   2A97E8B4   CAM_Park {30, 0, 30}    PZ1x1_ParkFlowerGarden3_2a635ad0
07BDDF1C   34DC0527   CAM_Park {20, 0, 20}    PZ1x1_ParkGreens2_4a635a8b
07BDDF1C   3A563CED   CAM_Park {15.8, 0, 15.8} PZ1x1_ParkVictoryGarden4_0a635a93
07BDDF1C   420C6C28   CAM_Park {1, 0, 1}      PZ1x1_Cement_4ab05a12
07BDDF1C   468FD65F   CAM_Poli {31.9, 45, 28} CV32x28_36carLocalPrecinct_PIMxD
07BDDF1C   49B1163D   CAM_Park {15.8, 0, 31.8} Pzskate1x1_skateboardpark1
07BDDF1C   4A635A8A   SimCity_ {15.8, 0, 15.8} PZ1x1_ParkGreens1_4a635a8a
07BDDF1C   4A635A8A   CAM_Maxi {15.8, 0, 15.8} PZ1x1_ParkGreens1_4a635a8a
07BDDF1C   4A635A8B   SimCity_ {20, 0, 20}    PZ1x1_ParkGreens2_4a635a8b
07BDDF1C   4A635A8B   CAM_Maxi {20, 0, 20}    PZ1x1_ParkGreens2_4a635a8b
07BDDF1C   4A635A8C   SimCity_ {30, 0, 30}    PZ1x1_ParkGreens3_4a635a8c
07BDDF1C   4A635A8C   CAM_Maxi {30, 0, 30}    PZ1x1_ParkGreens3_4a635a8c
07BDDF1C   4A635AD2   SimCity_ {10, 0, 10}    PZ1x1_Plaza1
07BDDF1C   4A635AD2   CAM_Maxi {10, 0, 10}    PZ1x1_Plaza1
07BDDF1C   4A635AD3   SimCity_ {20, 0, 20}    PZ1x1_Plaza2
07BDDF1C   4A635AD3   CAM_Maxi {20, 0, 20}    PZ1x1_Plaza2
07BDDF1C   4A635AD4   SimCity_ {30, 0, 30}    PZ1x1_Plaza3
07BDDF1C   4A635AD4   CAM_Maxi {30, 0, 30}    PZ1x1_Plaza3
07BDDF1C   4AB05A12   SimCity_ {1, 0, 1}      PZ1x1_Cement_4ab05a12
07BDDF1C   4AB05A12   CAM_Maxi {1, 0, 1}      PZ1x1_Cement_4ab05a12
07BDDF1C   4AB05A13   SimCity_ {1, 0, 1}      PZ1x1_Grass_4ab05a13
07BDDF1C   4AB05A13   CAM_Maxi {1, 0, 1}      PZ1x1_Grass_4ab05a13
07BDDF1C   4E8C20A5   CAM_Educ {24, 14, 22}   CV24x22_ScienceHistoryArtMuseum_PIMxD
07BDDF1C   4FB0D650   CAM_Park {15.8, 0, 15.8} PZ1x1_ParkVictoryGarden2_0a635a91
07BDDF1C   4FCE5F68   CAM_Educ {56, 29, 28}   CV56x28_9-12LargeSchool_PIMxD
07BDDF1C   5D621FE4   CAM_Poli {9, 8, 7}      CV9X7_PoliceKiosk_PIMxD
07BDDF1C   640875EE   CAM_Poli {12, 17, 14}   CV12x14_2engineStationHouse_PIMxD
07BDDF1C   6856EAC9   CAM_Educ {62, 29, 88}   CV67x95_large-high-school_PIMxD
07BDDF1C   6A636333   SimCity_ {10, 0, 10}    PZ1x1_ParkPlayground1_6a636333
07BDDF1C   6A636333   CAM_Maxi {10, 0, 10}    PZ1x1_ParkPlayground1_6a636333
07BDDF1C   6A636334   SimCity_ {20, 0, 20}    PZ1x1_Playground2_6a636334
07BDDF1C   6A636334   CAM_Maxi {20, 0, 20}    PZ1x1_Playground2_6a636334
07BDDF1C   6A636337   SimCity_ {11, 11, 9}    PZ11x9x11_Gazebo_1DDE
07BDDF1C   6A636337   CAM_Maxi {11, 11, 9}    PZ11x9x11_Gazebo_1DDE
07BDDF1C   6A636339   SimCity_ {15.8, 0, 31.8} Pzskate1x1_skateboardpark1
07BDDF1C   6A636339   CAM_Maxi {15.8, 0, 31.8} Pzskate1x1_skateboardpark1
07BDDF1C   70BC7180   CAM_Park {10, 0, 10}    PZ1x1_Plaza1
07BDDF1C   78BF9F5F   CAM_Educ {10, 14, 24}   CV10x24_SmallLibrary_PIMxD
07BDDF1C   7D4F6A2A   CAM_Park {3, 3, 8}      Pzsoc3x8x3_goalpost_1E17
07BDDF1C   8A635AD0   SimCity_ {1, 3, 1}      PZ1x1_ParkBasketball1_8a635ad0
07BDDF1C   8A635AD0   CAM_Maxi {1, 3, 1}      PZ1x1_ParkBasketball1_8a635ad0
07BDDF1C   8ED460E1   CAM_Park {15.5, 2, 31.5} PZ16x32x2_tennis-court_298F
07BDDF1C   9DE24D07   CAM_Park {20, 0, 20}    PZ1x1_Plaza2
07BDDF1C   A2B88DC7   CAM_Poli {38, 25, 48}   CV38x48_Jail_PIMxD
07BDDF1C   A3153319   CAM_Park {15.8, 0, 15.8} PZ1x1_ParkVictoryGarden3_0a635a92
07BDDF1C   A3DB5600   CAM_Poli {19, 21, 15}   CV19x15_DeluxeFireStation_PIMxD
07BDDF1C   A48695F9   CAM_Park {15.8, 0, 15.8} PZ1x1_ParkGreens1_4a635a8a
07BDDF1C   A615C441   CAM_Park {20, 0, 20}    PZ1x1_Playground2_6a636334
07BDDF1C   ACCCDC74   CAM_Poli {40, 33, 36}   CV40x36_DeluxePrecinct_PIMxD
07BDDF1C   B47406A3   CAM_Park {10, 0, 10}    PZ1x1_ParkPlayground1_6a636333
07BDDF1C   B7F078C3   CAM_Park {3, 16, 8}     PZ17x9x15_RangerStation_1F34
07BDDF1C   BAF82E52   CAM_Heal {47.9, 43.84, 47.9} CV44x44_LargeMedicalCenter_PIMxD
07BDDF1C   CD68BB2E   CAM_Park {30, 0, 30}    PZ1x1_Plaza3
07BDDF1C   CEBC4526   CAM_Park {16, 11, 16}   PZBaseball16x16x11_Backstop_1DBE
07BDDF1C   D1CE0B65   CAM_Poli {24, 16, 24}   CV24X24_4carLocalPrecinct_PIMxD
07BDDF1C   D7C564C4   CAM_Poli {31.9, 23, 31.9} CV32x32_4engineStationHouse_PIMxD
07BDDF1C   EA8756CF   SimCity_ {20, 0, 20}    PZ1x1_ParkFlowerGarden2_2a635acf
07BDDF1C   EA8756CF   CAM_Maxi {20, 0, 20}    PZ1x1_ParkFlowerGarden2_2a635acf
07BDDF1C   EA8756CF   plaza-su {20, 0, 20}    PZ1x1_ParkFlowerGarden2_2a635acf
07BDDF1C   EA8756D0   SimCity_ {30, 0, 30}    PZ1x1_ParkFlowerGarden3_2a635ad0
07BDDF1C   EA8756D0   CAM_Maxi {30, 0, 30}    PZ1x1_ParkFlowerGarden3_2a635ad0
07BDDF1C   ED71D0A0   CAM_Park {11, 11, 9}    PZ11x9x11_Gazebo_1DDE
07BDDF1C   F381A16A   CAM_Educ {28, 9, 28}    CV28x28_K-8SmallSchool_PIMxD
084344E0   0781214F   SimCity_ -              Road Placement Tuning Parameters
084344E0   0814E612   SimCity_ -              Rail Placement Tuning Parameters
084344E0   095117DB   SimCity_ -              Pipe Placement Tuning Parameters
084344E0   0A367CA7   SimCity_ -              Subway Placement Tuning Parameters
084344E0   0BE08C87   SimCity_ -              Ground Highway Placement Tuning Parameters
084344E0   2B730A17   SimCity_ -              Avenue Placement Tuning Parameters
084344E0   492A03A3   SimCity_ -              Street Placement Tuning Parameters
084344E0   8BDA0C2B   SimCity_ -              One Way Road Placement Tuning Parameters
084344E0   A8433F6B   SimCity_ -              Highway Placement Tuning Parameters
084344E0   CB79E089   SimCity_ -              Elevated Rail Placement Tuning Parameters
084344E0   EBE08882   SimCity_ -              MonoRail Placement Tuning Parameters
084344E0   EBE08CDA   SimCity_ -              Dirt Road Placement Tuning Parameters
088E1962   05000105   SimCity_ -              PowerPole_105
088E1962   05000205   SimCity_ -              PowerPole_205
088E1962   05000305   SimCity_ -              PowerPole_305
088E1962   05000405   SimCity_ -              PowerPole_405
088E1962   05000505   SimCity_ -              PowerPole_505
088E1962   05000605   SimCity_ -              PowerPole_605
096E6739   00000005   SimCity_ -              test_vehicle
096E6739   10610000   SimCity_ -              Vehicle_ExpensiveSportsCar_normal_10610000
096E6739   10620000   SimCity_ -              Vehicle_Bus_normal_10620000
096E6739   10630000   SimCity_ -              Vehicle_Pickup_normal_10630000
096E6739   10640000   SimCity_ -              Vehicle_CopCar_normal_10640000
096E6739   10650000   SimCity_ -              Vehicle_ExpensiveCoupe_normal_10650000
096E6739   10660000   SimCity_ -              Vehicle_FlatBed_normal_10660000
096E6739   10680000   SimCity_ -              Vehicle_MovingVan_normal_10680000
096E6739   10690000   SimCity_ -              Vehicle_FireEngine_normal_10690000
096E6739   106A0000   SimCity_ -              Vehicle_SportsCarCheap2_normal_106a0000
096E6739   106B0000   SimCity_ -              Vehicle_SedanCheap1_normal_106b0000
096E6739   106C0000   SimCity_ -              Vehicle_SedanCheap2_normal_106c0000
096E6739   106E0000   SimCity_ -              Vehicle_LowriderConvertible_normal_106e0000
096E6739   106F0000   SimCity_ -              Vehicle_Minivan_normal_106f0000
096E6739   10700000   SimCity_ -              Vehicle_SUV_Normal_10700000
096E6739   10710000   SimCity_ -              Vehicles_SportsCarCheap1_normal_10710000
096E6739   10730000   SimCity_ -              Vehicle_LimoSedan_1073
096E6739   10750000   SimCity_ -              Vehicle_Motorcycle3_1075
096E6739   10760000   SimCity_ -              Vehicle_LuxurySedan_normal_10760000
096E6739   10780000   SimCity_ -              Vehicle_IceCreamTruck_normal_10780000
096E6739   107C0000   SimCity_ -              Vehicle_CC_Grader_107c0000
096E6739   107D0000   SimCity_ -              Vehicle_CC_Dumptruck_107d0000
096E6739   107E0000   SimCity_ -              Vehicle_MovingVan2_107E0000
096E6739   107F0000   SimCity_ -              Vehicle_IndustTruck2_107F0000
096E6739   108C0000   SimCity_ -              Vehicle_CopVan_108C
096E6739   108E0000   SimCity_ -              Vehicle_LuxerySimcar_108E0000
096E6739   108F0000   SimCity_ -              Vehicle_MySim_108F0000
096E6739   10900000   SimCity_ -              Vehicle_MySimLow_10900000
096E6739   10910000   SimCity_ -              Vehicle_EarlyModel_1091
096E6739   10980000   SimCity_ -              TRAINS_SCATcar_1098
096E6739   10990000   SimCity_ -              TRAINS_Tunneler_1099
096E6739   109A0000   SimCity_ -              TRAINS_FlatBedCarA1_109A0000
096E6739   109B0000   SimCity_ -              TRAINS_BoxCar1_109B0000
096E6739   109C0000   SimCity_ -              TRAINS_FlatbedCarB1_109C0000
096E6739   109D0000   SimCity_ -              TRAINS_CoalCar1_109D0000
096E6739   109E0000   SimCity_ -              TRAINS_FlatbedCarC1_109E0000
096E6739   109F0000   SimCity_ -              TRAINS_GondolaCar1_109F0000
096E6739   10A00000   SimCity_ -              TRAINS_LumberCar1_10A00000
096E6739   10A10000   SimCity_ -              TRAINS_TimberCar2_10A10000
096E6739   10A20000   SimCity_ -              TRAINS_ContainerCar1_10A20000
096E6739   10A30000   SimCity_ -              TRAINS_ContainerCar2_10A30000
096E6739   10A40000   SimCity_ -              TRAINS_PiggybackCar_10A40000
096E6739   10A50000   SimCity_ -              TRAINS_TimberCar1_10A50000
096E6739   10A60000   SimCity_ -              TRAINS_FlatBedCarA2_10A60000
096E6739   10A70000   SimCity_ -              TRAINS_TankerCar1_10A70000
096E6739   10A80000   SimCity_ -              TRAINS_Caboose_10A80000
096E6739   10A90000   SimCity_ -              TRAINS_PassengerEngine_10A90000
096E6739   10AA0000   SimCity_ -              TRAINS_FreightEngine_10AA0000
096E6739   10AB0000   SimCity_ -              TRAINS_BoxCar2_10AB0000
096E6739   10AC0000   SimCity_ -              TRAINS_FlatBedCarB2_10AC0000
096E6739   10AD0000   SimCity_ -              TRAINS_CoalCar2_10AD0000
096E6739   10AE0000   SimCity_ -              TRAINS_GondolaCar2_10AE0000
096E6739   10AF0000   SimCity_ -              TRAINS_FlatbedCarC2_10AF0000
096E6739   10B00000   SimCity_ -              TRAINS_TankerCar2_10B00000
096E6739   10B10000   SimCity_ -              TRAINS_PassengerCar_10B10000
096E6739   10B20000   SimCity_ -              Vehicle_SchoolBus_10B20000
096E6739   10B30000   SimCity_ -              Vehicle_GarbageTruck_10B30000
096E6739   10B60000   SimCity_ -              Vehicle_Ambulance_10B60000
096E6739   10B70000   SimCity_ -              Vehicle_SUV_10b70000
096E6739   10B80000   SimCity_ -              Vehicle_SUVwhite_10b80000
096E6739   10B90000   SimCity_ -              Vehicle_SUVyelo_10b90000
096E6739   10BA0000   SimCity_ -              Vehicle_Hearse_10BA0000
096E6739   10BB0000   SimCity_ -              Vehicle_Recycle_10BB0000
096E6739   10BC0000   SimCity_ -              Vehicle_Toxic_10BC0000
096E6739   10BD0000   SimCity_ -              TRAINS_SCATengine_10BD0000
096E6739   10C30000   SimCity_ -              Vehicle_ExpensiveCoupe_10C30000
096E6739   10C40000   SimCity_ -              Vehicle_ExpensiveCoupe_10C40000
096E6739   10C50000   SimCity_ -              Vehicle_ExpensiveCoupe_10C50000
096E6739   10C60000   SimCity_ -              Vehicle_ExpensiveCoupe_10C60000
096E6739   10C70000   SimCity_ -              Vehicle_ExpensiveSportsCar_10C70000
096E6739   10C80000   SimCity_ -              Vehicle_ExpensiveSportsCar_10C80000
096E6739   10C90000   SimCity_ -              Vehicle_ExpensiveSportsCar_10C90000
096E6739   10CA0000   SimCity_ -              Vehicle_ExpensiveSportsCar_10CA0000
096E6739   10CB0000   SimCity_ -              Vehicle_Pickup_10CB0000
096E6739   10CC0000   SimCity_ -              Vehicle_Pickup_10CC0000
096E6739   10CD0000   SimCity_ -              Vehicle_Pickup_10CD0000
096E6739   10CE0000   SimCity_ -              Vehicle_Pickup_10CE0000
096E6739   10CF0000   SimCity_ -              Vehicle_SUV_10CF0000
096E6739   10D00000   SimCity_ -              Vehicle_Junker_10D00000
096E6739   10D10000   SimCity_ -              Vehicle_Junker_10D10000
096E6739   10D20000   SimCity_ -              Vehicle_Junker_10D20000
096E6739   10D30000   SimCity_ -              Vehicle_Junker_10D30000
096E6739   10D40000   SimCity_ -              Vehicle_LuxurySedan_10D40000
096E6739   10D50000   SimCity_ -              Vehicle_LuxurySedan_10D50000
096E6739   10D60000   SimCity_ -              Vehicle_LuxurySedan_10D60000
096E6739   10D70000   SimCity_ -              Vehicle_LuxurySedan_10D70000
096E6739   10D80000   SimCity_ -              Vehicle_Minivan_10D80000
096E6739   10D90000   SimCity_ -              Vehicle_Minivan_10D90000
096E6739   10DA0000   SimCity_ -              Vehicle_Minivan_10DA0000
096E6739   10DB0000   SimCity_ -              Vehicle_Minivan_10DB0000
096E6739   10DC0000   SimCity_ -              Vehicle_SportsCarCheap2_10DC0000
096E6739   10DD0000   SimCity_ -              Vehicle_SportsCarCheap2_10DD0000
096E6739   10DE0000   SimCity_ -              Vehicle_SportsCarCheap2_10DE0000
096E6739   10DF0000   SimCity_ -              Vehicle_SportsCarCheap2_10DF0000
096E6739   10E00000   SimCity_ -              Vehicle_SportsCarCheap1_10E00000
096E6739   10E10000   SimCity_ -              Vehicle_SportsCarCheap1_10E10000
096E6739   10E20000   SimCity_ -              Vehicle_SportsCarCheap1_10E20000
096E6739   10E30000   SimCity_ -              Vehicle_SportsCarCheap1_10E30000
096E6739   10E40000   SimCity_ -              Vehicle_SedanCheap1_10E40000
096E6739   10E50000   SimCity_ -              Vehicle_SedanCheap1_10E50000
096E6739   10E60000   SimCity_ -              Vehicle_SedanCheap2_10E60000
096E6739   10E70000   SimCity_ -              Vehicle_SedanCheap2_10E70000
096E6739   10E80000   SimCity_ -              Vehicle_armyTruck_10E80000
096E6739   10EB0000   SimCity_ -              Vehicle_VanNews_10EB0000
096E6739   10EC0000   SimCity_ -              Vehicle_VanBeater_10EC0000
096E6739   10EC1000   SimCity_ -              Vehicle_GetawayVan_10EC1000
096E6739   10ED0000   SimCity_ -              Vehicle_Taxi_10ED0000
096E6739   10F70000   SimCity_ -              Vehicle_Moving3_10F70000
096E6739   10FB0000   SimCity_ -              Vehicle_Semi_10FB0000
096E6739   10FC0000   SimCity_ -              Vehicle_SemiTrailer1_10FC0000
096E6739   10FD0000   SimCity_ -              Vehicle_SemiTrailer2_10FD0000
096E6739   10FE0000   SimCity_ -              Vehicle_SemiTrailer3_10FE0000
096E6739   10FF0000   SimCity_ -              Vehicle_SemiTrailer4_10FF0000
096E6739   11000000   SimCity_ -              Vehicle_Moving3Trailer_11000000
096E6739   11010000   SimCity_ -              Vehicle_SemiTrailer5_11010000
096E6739   110A0000   SimCity_ -              Vehicle_Motorcycle1_110A
096E6739   110B0000   SimCity_ -              Vehicle_Motorcycle2_110B
096E6739   11130000   SimCity_ -              Vehicle_Moving3B_1113
096E6739   11140000   SimCity_ -              Vehicle_MovingVanB_1114
096E6739   11150000   SimCity_ -              Vehicle_MovingVan2B_1115
096E6739   112C0000   SimCity_ -              TRAINS_Elev_engine_10BD0000
096E6739   112D0000   SimCity_ -              TRAINS_Elev_car_1098
096E6739   112E0000   SimCity_ -              Vehicle_tank2Camo_112E0000
096E6739   11300000   SimCity_ -              Vehicle_tank1Desert_11300000
096E6739   11320000   SimCity_ -              Vehicle_SemiTrailer7_11320000
096E6739   11330000   SimCity_ -              Trains_GrainCar1_11330000
096E6739   11340000   SimCity_ -              Trains_GrainCar2_11340000
096E6739   11380000   SimCity_ -              Vehicle_MayorLimo_11380000
096E6739   11390000   SimCity_ -              Vehicle_Motorcycle4_11390000
096E6739   113A0000   SimCity_ -              Vehicle_MotorcycleChopper_113A0000
096E6739   113D0000   SimCity_ -              Vehicle_QuadPU_113D0000
096E6739   113E0000   SimCity_ -              Vehicle_QuadPU_113E0000
096E6739   113F0000   SimCity_ -              Vehicle_QuadPU_113F0000
096E6739   11400000   SimCity_ -              Vehicle_QuadPU_11400000
096E6739   11410000   SimCity_ -              Vehicle_QuadPU_11410000
096E6739   11420000   SimCity_ -              Vehicle_QuadPU_11420000
096E6739   11430000   SimCity_ -              Vehicle_SportUtil_11430000
096E6739   11440000   SimCity_ -              Vehicle_SportUtil_11440000
096E6739   11450000   SimCity_ -              Vehicle_SportUtil_11450000
096E6739   11460000   SimCity_ -              Vehicle_SportUtil_11460000
096E6739   11470000   SimCity_ -              Vehicle_SportUtil_11470000
096E6739   11480000   SimCity_ -              Vehicle_SportUtil_11480000
096E6739   114A0000   SimCity_ -              Vehicle_Semi2_114A0000
096E6739   114B0000   SimCity_ -              Vehicle_Semi3_114B0000
096E6739   114C0000   SimCity_ -              Vehicle_Semi4_114C0000
096E6739   114D0000   SimCity_ -              Vehicle_Semi5_114D0000
096E6739   114E0000   SimCity_ -              Vehicle_Semi6_114E0000
096E6739   11530000   SimCity_ -              TRAINS_MonoRailEngine_11530000
096E6739   11540000   SimCity_ -              TRAINS_MonoRailPassenger_11540000
096E6739   11560000   SimCity_ -              Vehicle_Squareback_11560000
096E6739   11570000   SimCity_ -              Vehicle_Squareback_11570000
096E6739   11580000   SimCity_ -              Vehicle_Squareback_11580000
096E6739   11590000   SimCity_ -              Vehicle_Squareback_11590000
096E6739   115A0000   SimCity_ -              Vehicle_Squareback_115A0000
096E6739   115B0000   SimCity_ -              Vehicle_StationWagon_115B0000
